"",".y.","group1","group2","p","p.adj","p.format","p.signif","method","cohen_d","log2_FC","direction"
"1","Age","Donor","COPD",0.0749733900169854,0.075,"0.075","ns","Wilcoxon",0.449657583665797,0.128174961843282,"upregulated"
"2","Basophils","COPD","Donor",0.587412578365279,0.59,"0.59","ns","Wilcoxon",0.21684622194834,0.08558771897569,"upregulated"
"3","BMI","Donor","COPD",6.14021219846274e-06,6.1e-06,"6.1e-06","****","Wilcoxon",-1.03100671678756,-0.261600259822443,"downregulated"
"4","CCL11_L","COPD","Donor",0.699477951361298,0.7,"0.7","ns","Wilcoxon",0.274311170717026,0.204191851566367,"upregulated"
"5","CCL11_S","COPD","Donor",0.41225949287845,0.41,"0.41","ns","Wilcoxon",0.172520658898933,0.0587980518370169,"upregulated"
"6","CCL17_L","COPD","Donor",0.719282449151717,0.72,"0.72","ns","Wilcoxon",0.0708738680507141,0.0340196233896806,"upregulated"
"7","CCL17_S","COPD","Donor",2.03705654742842e-06,2e-06,"2e-06","****","Wilcoxon",1.10595856814531,0.399382855856467,"upregulated"
"8","CCL19_L","COPD","Donor",0.701171182557319,0.7,"0.7","ns","Wilcoxon",-0.0224299858332368,-0.00793236746391757,"downregulated"
"9","CCL2_L","COPD","Donor",0.41982317806435,0.42,"0.42","ns","Wilcoxon",-0.0536709964925544,-0.0381933760585783,"downregulated"
"10","CCL2_S","COPD","Donor",1.79477125655856e-13,1.8e-13,"1.8e-13","****","Wilcoxon",2.00920650763725,0.612313158871949,"upregulated"
"11","CCL20_L","COPD","Donor",0.748393160578105,0.75,"0.75","ns","Wilcoxon",0.270044255415063,0.24150722097019,"upregulated"
"12","CCL20_S","COPD","Donor",0.37836707974332,0.38,"0.38","ns","Wilcoxon",0.107265219622612,0.0341539419522652,"upregulated"
"13","CCL3_L","COPD","Donor",0.055893495411826,0.056,"0.056","ns","Wilcoxon",0.524422028716319,0.244199359119273,"upregulated"
"14","CCL3_S","COPD","Donor",0.369040193851258,0.37,"0.37","ns","Wilcoxon",0.127755190077091,0.0368650251426443,"upregulated"
"15","CCL4_L","COPD","Donor",0.153492786742614,0.15,"0.15","ns","Wilcoxon",0.432994094973292,0.16042753627461,"upregulated"
"16","CCL4_S","COPD","Donor",1.0361310057463e-07,1e-07,"1e-07","****","Wilcoxon",1.38843897178892,0.371169876727082,"upregulated"
"17","CCL5_L","Donor","COPD",0.00076327864444544,0.00076,"0.00076","***","Wilcoxon",1.11064047544005,0.285761197190879,"upregulated"
"18","CCL5_S","COPD","Donor",2.89618059680397e-05,2.9e-05,"2.9e-05","****","Wilcoxon",1.63092479237773,0.527786002134485,"upregulated"
"19","CD19","COPD","Donor",8.27411999245437e-05,8.3e-05,"8.3e-05","****","Wilcoxon",1.40796966950488,0.514625566090963,"upregulated"
"20","CD3","COPD","Donor",1.05645945196666e-08,1.1e-08,"1.1e-08","****","Wilcoxon",2.22641931485396,0.52092471341578,"upregulated"
"21","CD4","COPD","Donor",4.54386557951613e-08,4.5e-08,"4.5e-08","****","Wilcoxon",2.2424308439804,0.653288949684314,"upregulated"
"22","CD8","COPD","Donor",5.15826633836372e-06,5.2e-06,"5.2e-06","****","Wilcoxon",1.53378645562627,0.464405442370404,"upregulated"
"23","CRP","Donor","COPD",1.80286373385747e-09,1.8e-09,"1.8e-09","****","Wilcoxon",-0.927078795299442,-3.43892051554623,"downregulated"
"24","CXCL1_L","COPD","Donor",0.710685168303499,0.71,"0.71","ns","Wilcoxon",0.215408996100623,0.104874394408739,"upregulated"
"25","CXCL1_S","COPD","Donor",0.00164328466964199,0.0016,"0.0016","**","Wilcoxon",0.693850524071189,0.232496418556547,"upregulated"
"26","CXCL10_L","COPD","Donor",2.98458851966024e-05,3e-05,"3e-05","****","Wilcoxon",0.973343197336809,0.485530312682368,"upregulated"
"27","CXCL10_S","COPD","Donor",5.45264697606327e-06,5.5e-06,"5.5e-06","****","Wilcoxon",-1.11002117776551,-0.526370009412089,"downregulated"
"28","CXCL11_L","COPD","Donor",0.258228918572643,0.26,"0.26","ns","Wilcoxon",0.314742192263051,0.173994097250255,"upregulated"
"29","CXCL11_S","COPD","Donor",0.0330544111282796,0.033,"0.033","*","Wilcoxon",0.451159239882465,0.134559608751399,"upregulated"
"30","CXCL12_L","COPD","Donor",0.445378632764728,0.45,"0.45","ns","Wilcoxon",0.13271378723061,0.030294611853193,"upregulated"
"31","CXCL12_S","COPD","Donor",0.16902048292884,0.17,"0.17","ns","Wilcoxon",-0.440370463755125,-0.135869930357724,"downregulated"
"32","CXCL13_L","COPD","Donor",0.0414964743060055,0.041,"0.041","*","Wilcoxon",0.453424698259473,0.240923822482461,"upregulated"
"33","CXCL5_L","COPD","Donor",0.614360208953862,0.61,"0.61","ns","Wilcoxon",-0.119203268649099,-0.0639882990203084,"downregulated"
"34","CXCL5_S","COPD","Donor",0.00237040062191195,0.0024,"0.0024","**","Wilcoxon",0.758283189038876,0.317121700356893,"upregulated"
"35","CXCL9_L","COPD","Donor",1.16145190349454e-08,1.2e-08,"1.2e-08","****","Wilcoxon",1.3271092193274,0.593261072792992,"upregulated"
"36","CXCL9_S","COPD","Donor",1.74923329989229e-13,1.7e-13,"1.7e-13","****","Wilcoxon",-2.21971184042769,-0.64083793673766,"downregulated"
"37","DC_CD209neg_CD11cposCd1a","COPD","Donor",0.174210759503768,0.17,"0.17","ns","Wilcoxon",-0.438238420724358,-0.279224612459602,"downregulated"
"38","DC_CD209pos_CD11cposCD1a","COPD","Donor",0.218763680161554,0.22,"0.22","ns","Wilcoxon",-0.388944557051153,-0.422117542691093,"downregulated"
"39","DLCOcSB_percent","Donor","COPD",1.89856319588863e-06,1.9e-06,"1.9e-06","****","Wilcoxon",-2.93422291189668,-1.48717827839774,"downregulated"
"40","FEV1_FVC_percent","Donor","COPD",9.61622595804722e-11,9.6e-11,"9.6e-11","****","Wilcoxon",-5.90652054627059,-1.08545368102931,"downregulated"
"41","FEV1_percent","Donor","COPD",1.06573197791707e-10,1.1e-10,"1.1e-10","****","Wilcoxon",-4.46136908790276,-2.15706241683284,"downregulated"
"42","FVC_percent","Donor","COPD",1.68161261994372e-09,1.7e-09,"1.7e-09","****","Wilcoxon",-2.67963030787557,-1.0574905071865,"downregulated"
"43","gdTCR","COPD","Donor",0.364934735932384,0.36,"0.36","ns","Wilcoxon",0.181075427415646,0.0752730688887658,"upregulated"
"44","GM_CSF_L","COPD","Donor",0.159900080458896,0.16,"0.16","ns","Wilcoxon",0.322715700580318,0.118901509794031,"upregulated"
"45","GM_CSF_S","Donor","COPD",0.0595828702284671,0.06,"0.06","ns","Wilcoxon",0.504265330876703,0.185347352935069,"upregulated"
"46","IFN_la1_L","COPD","Donor",0.206422311781667,0.21,"0.21","ns","Wilcoxon",-0.0202402467152673,-0.00926546300561748,"downregulated"
"47","IFN_la1_S","COPD","Donor",0.0012272711747733,0.0012,"0.0012","**","Wilcoxon",-0.691357332054797,-0.391294815291729,"downregulated"
"48","IFN_la2_3_S","COPD","Donor",0.0327552717387253,0.033,"0.033","*","Wilcoxon",-0.616941384069775,-0.372031440909868,"downregulated"
"49","IFNa2_S","COPD","Donor",0.787174669512787,0.79,"0.79","ns","Wilcoxon",-0.0686706911440128,-0.0708963689650997,"downregulated"
"50","IFNb_S","COPD","Donor",0.0375237587177825,0.038,"0.038","*","Wilcoxon",-0.450731048827726,-0.392564921496664,"downregulated"
"51","IFNg_L","COPD","Donor",0.382703143803352,0.38,"0.38","ns","Wilcoxon",0.315278395168439,0.184844676529876,"upregulated"
"52","IFNg_S","COPD","Donor",0.105200676169819,0.11,"0.11","ns","Wilcoxon",-0.357556347560292,-0.241009200480227,"downregulated"
"53","IL10_L","COPD","Donor",0.245689200412769,0.25,"0.25","ns","Wilcoxon",-0.221009308516198,-0.130595683539492,"downregulated"
"54","IL10_S","COPD","Donor",0.000146095568986801,0.00015,"0.00015","***","Wilcoxon",0.922039927503535,1.44409299116677,"upregulated"
"55","IL1b_L","COPD","Donor",0.500825571890846,0.5,"0.5","ns","Wilcoxon",-0.147029775392254,-0.0669965963660883,"downregulated"
"56","IL1b_S","COPD","Donor",0.000632703260262433,0.00063,"0.00063","***","Wilcoxon",0.869606682614402,0.646220865987496,"upregulated"
"57","IL6_L","COPD","Donor",0.433544472297774,0.43,"0.43","ns","Wilcoxon",-0.135824760351329,-0.103734858102215,"downregulated"
"58","IL6_S","COPD","Donor",1.3209188109619e-06,1.3e-06,"1.3e-06","****","Wilcoxon",1.09409151511512,0.832356899996395,"upregulated"
"59","IL8_L","COPD","Donor",0.00876589152720923,0.0088,"0.0088","**","Wilcoxon",-0.582117415932292,-0.323791497464015,"downregulated"
"60","IL8_S","COPD","Donor",0.0852721648600831,0.085,"0.085","ns","Wilcoxon",0.445062155897817,0.192561943109559,"upregulated"
"61","Macs_CD14hi_CD1anegHLApos","COPD","Donor",0.587412578365279,0.59,"0.59","ns","Wilcoxon",0.0131068948319137,0.00861913869609656,"upregulated"
"62","Macs_CD14hi_CD1aposHLAneg","COPD","Donor",0.00488653876889498,0.0049,"0.0049","**","Wilcoxon",-0.938948139728617,-0.525535239932012,"downregulated"
"63","Macs_CD14hi_CD1aposHLApos","COPD","Donor",0.0773808726951975,0.077,"0.077","ns","Wilcoxon",-0.390060070232872,-0.212288788832674,"downregulated"
"64","Macs_CD14med_CD1anegHLApos","COPD","Donor",0.380538959456594,0.38,"0.38","ns","Wilcoxon",0.326395601897227,0.348774584111569,"upregulated"
"65","Macs_CD14med_CD1aposHLAneg","COPD","Donor",0.621114276243849,0.62,"0.62","ns","Wilcoxon",-0.219423806746421,-0.176188044202413,"downregulated"
"66","Macs_CD14med_CD1aposHLApos","COPD","Donor",0.801154453994145,0.8,"0.8","ns","Wilcoxon",-0.0665288503279686,-0.0668583350797114,"downregulated"
"67","Mast_CD203neg","COPD","Donor",0.708717134641194,0.71,"0.71","ns","Wilcoxon",0.1431334331386,0.127180434782609,"upregulated"
"68","Mast_CD203pos","COPD","Donor",0.237609630168459,0.24,"0.24","ns","Wilcoxon",0.337357537079112,0.318804347826087,"upregulated"
"69","Mono_clas","Donor","COPD",7.78883401039815e-05,7.8e-05,"7.8e-05","****","Wilcoxon",-0.312999176981246,-0.149082219283794,"downregulated"
"70","Mono_int","Donor","COPD",0.000301313977448047,3e-04,"3e-04","***","Wilcoxon",-1.22525859087661,-0.462274399027312,"downregulated"
"71","Mono_non","Donor","COPD",0.330175662942523,0.33,"0.33","ns","Wilcoxon",-0.511200692798186,-0.201109598878652,"downregulated"
"72","mPAP","Donor","COPD",8.13338432704174e-08,8.1e-08,"8.1e-08","****","Wilcoxon",1.66114255448163,0.534857444284113,"upregulated"
"73","NEFA_L","Donor","COPD",0.405505922445025,0.41,"0.41","ns","Wilcoxon",-0.201115387129139,-0.0303545338049132,"downregulated"
"74","NEFA_S","COPD","Donor",1,1,"1","ns","Wilcoxon",-0.0495989956500447,-0.010530435658306,"downregulated"
"75","Neutrophils","COPD","Donor",9.33723807251272e-06,9.3e-06,"9.3e-06","****","Wilcoxon",-1.58215470774427,-0.410547650852851,"downregulated"
"76","NKcells","COPD","Donor",0.72063474087203,0.72,"0.72","ns","Wilcoxon",0.126601757812633,0.0625290148323093,"upregulated"
"77","NKT","COPD","Donor",0.164344171848779,0.16,"0.16","ns","Wilcoxon",0.618162954961761,0.28557763509107,"upregulated"
"78","pCO2_mmHg","Donor","COPD",3.82361376696472e-07,3.8e-07,"3.8e-07","****","Wilcoxon",1.65957959911813,0.350581833422746,"upregulated"
"79","pDC","COPD","Donor",0.0311627033727571,0.031,"0.031","*","Wilcoxon",0.791173199035021,0.667277722458006,"upregulated"
"80","pO2_mmHg","Donor","COPD",0.00864964964419817,0.0086,"0.0086","**","Wilcoxon",-0.488160841760963,-0.608703640683014,"downregulated"
"81","RV_percent","Donor","COPD",2.43252747053858e-10,2.4e-10,"2.4e-10","****","Wilcoxon",2.71850979128926,1.57843424105077,"upregulated"
"82","Smoking_py","Donor","COPD",0.00261558423572433,0.0026,"0.0026","**","Wilcoxon",0.748540686991524,0.913380030307769,"upregulated"
"83","TNF_C_L","Donor","COPD",0.00393957798943387,0.0039,"0.0039","**","Wilcoxon",-1.11193942358299,-0.281687739517153,"downregulated"
"84","TNFa_L","COPD","Donor",0.97837836473619,0.98,"0.98","ns","Wilcoxon",0.0328890943441484,0.0518997598522324,"upregulated"
"85","TNFa_S","COPD","Donor",0.698408865436534,0.7,"0.7","ns","Wilcoxon",0.200280694135664,0.228154795300631,"upregulated"
"86","TNFb_L","Donor","COPD",0.118995890544868,0.12,"0.12","ns","Wilcoxon",0.327879722264296,0.095745160409253,"upregulated"
"87","TNFb_S","COPD","Donor",0.000163407484244411,0.00016,"0.00016","***","Wilcoxon",-0.883072494587788,-0.328030021535257,"downregulated"
"88","Tregs","COPD","Donor",0.0164804859148546,0.016,"0.016","*","Wilcoxon",0.857195172542872,0.597495613760664,"upregulated"
"89","TSLP_L","Donor","COPD",0.0903532619542339,0.09,"0.09","ns","Wilcoxon",-0.633162493272377,-0.130142752791599,"downregulated"
"90","TSLP_S","Donor","COPD",0.0274432214462199,0.027,"0.027","*","Wilcoxon",-0.794362437730459,-0.134437323905979,"downregulated"
